business_name,city,state,latitude,longitude,user_name,date
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Carmen,4.0,2018-11-05 18:25:27
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Aiden,2.0,2018-10-23 00:59:20
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Janice,4.0,2018-11-09 06:19:59
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Salina,2.0,2018-10-22 07:15:57
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Brendan,5.0,2018-11-14 07:49:36
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Amy,4.0,2018-10-31 17:25:00
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Catherine,5.0,2018-10-18 18:57:10
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Ghifi Reviewer,5.0,2018-10-29 17:33:58
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Kerry,5.0,2018-10-29 21:59:28
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Stella,5.0,2018-10-19 02:39:50
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Karen,3.0,2018-11-13 13:41:44
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Kevin,5.0,2018-11-13 20:11:16
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Eryn,2.0,2018-11-08 00:54:50
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Linda,5.0,2018-10-21 03:55:10
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Angie,5.0,2018-11-07 16:48:46
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Giang,5.0,2018-11-03 03:04:55
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Gladys,3.0,2018-10-28 20:20:17
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,HI,5.0,2018-11-14 04:00:17
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Elaine,3.0,2018-11-09 01:16:50
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Kathy,3.0,2018-10-29 18:42:45
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Emily,5.0,2018-10-25 19:01:02
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Wendy,4.0,2018-10-25 20:45:56
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Victor,4.0,2018-10-25 01:41:33
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Kristiee,1.0,2018-10-30 21:59:03
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Matt,5.0,2018-10-22 17:46:44
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Amelia,2.0,2018-10-20 20:24:00
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Erica,5.0,2018-11-05 06:30:02
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Clea,4.0,2018-10-25 22:30:28
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Winbin,5.0,2018-10-23 06:07:11
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Dorna,2.0,2018-10-26 13:38:38
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Amelia,3.0,2018-10-25 17:18:05
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Fred,4.0,2018-10-19 17:26:24
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Sue A.,1.0,2018-10-22 23:57:33
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Angela,5.0,2018-11-01 09:27:55
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Zhihan,3.0,2018-10-23 03:38:56
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Maria,2.0,2018-10-26 02:25:50
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Jessica,3.0,2018-10-30 12:29:03
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Elise,5.0,2018-10-27 16:41:58
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Niki,5.0,2018-11-09 01:25:07
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Alvin,5.0,2018-11-11 00:16:30
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Ayu,3.0,2018-11-05 03:19:16
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Kervin,3.0,2018-10-31 05:02:38
Taiyaki NYC - Toronto,Toronto,ON,43.65573,-79.38459,Virginia,2.0,2018-10-26 15:27:41
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,James,4.0,2018-08-31 18:19:39
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Tom,2.0,2018-09-28 13:21:33
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Debra,2.0,2018-10-03 23:07:03
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Chelo,2.0,2018-09-02 14:52:11
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Sharon,1.0,2018-10-26 18:51:50
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Brianne,2.0,2018-09-09 17:44:07
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Michael,2.0,2018-09-13 17:03:57
Eggspectation Bloor,Toronto,ON,43.671803,-79.37871,Pengcheng,1.0,2018-08-24 13:00:28
Mr. Greek,Toronto,ON,43.769344,-79.46845,Rosie,2.0,2017-11-02 17:28:17
Mr. Greek,Toronto,ON,43.769344,-79.46845,Mike,1.0,2017-05-14 19:25:17
Mr. Greek,Toronto,ON,43.769344,-79.46845,Healthy,1.0,2018-03-07 00:36:42
Mr. Greek,Toronto,ON,43.769344,-79.46845,Marva,1.0,2018-07-02 10:52:55
Mr. Greek,Toronto,ON,43.769344,-79.46845,Sherry,1.0,2016-03-09 17:30:47
Mr. Greek,Toronto,ON,43.769344,-79.46845,Mike,4.0,2017-06-16 11:31:47
Mr. Greek,Toronto,ON,43.769344,-79.46845,Maya,3.0,2017-07-28 18:51:23
Pop-Up On River,Toronto,ON,43.6609,-79.35779,Loretta,4.0,2016-02-05 17:53:38
Pop-Up On River,Toronto,ON,43.6609,-79.35779,Cherrie,4.0,2015-10-05 00:30:38
Pop-Up On River,Toronto,ON,43.6609,-79.35779,Raymond,3.0,2018-07-17 17:53:35
Pop-Up On River,Toronto,ON,43.6609,-79.35779,Malik,5.0,2015-06-29 21:15:17
Indus Junction,Toronto,ON,43.64609,-79.409004,Rachel,5.0,2010-04-16 08:49:02
Indus Junction,Toronto,ON,43.64609,-79.409004,Rachel,5.0,2009-10-06 15:15:55
Indus Junction,Toronto,ON,43.64609,-79.409004,Richard,5.0,2008-10-06 14:36:52
Indus Junction,Toronto,ON,43.64609,-79.409004,Rob,3.0,2009-07-12 03:19:31
Ing's Thai Bowl,Toronto,ON,43.646732,-79.38395,Robin,2.0,2010-10-22 02:22:38
Ing's Thai Bowl,Toronto,ON,43.646732,-79.38395,Darren,4.0,2014-03-21 04:39:50
Ing's Thai Bowl,Toronto,ON,43.646732,-79.38395,Kedi,5.0,2011-08-17 20:43:45
Papa John's,Toronto,ON,43.709602,-79.24937,Ghanshyam,1.0,2017-07-21 04:37:25
Papa John's,Toronto,ON,43.709602,-79.24937,Samantha,5.0,2017-09-28 17:33:50
Papa John's,Toronto,ON,43.709602,-79.24937,Bryce,3.0,2017-12-04 00:15:51
Motherhome Myanmar Cuisine,Toronto,ON,43.65942,-79.438,WaYnE,2.0,2011-10-08 04:57:35
Motherhome Myanmar Cuisine,Toronto,ON,43.65942,-79.438,Ada,4.0,2011-12-10 01:19:12
Motherhome Myanmar Cuisine,Toronto,ON,43.65942,-79.438,Jennifer,3.0,2011-09-29 06:36:23
Motherhome Myanmar Cuisine,Toronto,ON,43.65942,-79.438,Luke,3.0,2011-10-26 23:57:06
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Imelda,5.0,2018-11-08 02:00:22
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Grace,1.0,2018-07-28 02:33:11
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Brenda,2.0,2018-07-13 22:41:56
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Jamie,4.0,2018-07-23 16:29:22
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Karen,1.0,2018-09-15 04:15:42
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Tiger,3.0,2018-10-01 20:43:58
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Lauretta,3.0,2018-07-18 00:05:15
Potato Noodle Soup of Bai,Toronto,ON,43.779694,-79.41508,Michael,4.0,2018-10-12 19:51:10
Kkorae,Toronto,ON,43.779785,-79.415375,Ian,5.0,2016-08-25 18:54:18
Kkorae,Toronto,ON,43.779785,-79.415375,Amy,2.0,2015-08-27 15:40:52
Kkorae,Toronto,ON,43.779785,-79.415375,Kyoung Soon,5.0,2015-02-15 22:58:28
Wanda's Belgian Waffles,Toronto,ON,43.666325,-79.384964,Lauren,2.0,2016-02-13 22:44:41
Wanda's Belgian Waffles,Toronto,ON,43.666325,-79.384964,Bryce,3.0,2015-11-07 17:48:31
Wanda's Belgian Waffles,Toronto,ON,43.666325,-79.384964,Deeanna,3.0,2015-12-19 13:11:19
Wanda's Belgian Waffles,Toronto,ON,43.666325,-79.384964,Mia,2.0,2015-11-15 17:18:27
Koryo Korean BBQ,Toronto,ON,43.654064,-79.3807,Debbie,1.0,2018-02-14 01:11:32
Koryo Korean BBQ,Toronto,ON,43.654064,-79.3807,Steven,4.0,2018-05-30 18:59:47
Koryo Korean BBQ,Toronto,ON,43.654064,-79.3807,Harry,4.0,2018-09-10 19:59:51
Koryo Korean BBQ,Toronto,ON,43.654064,-79.3807,Jacqueline,4.0,2018-06-03 22:40:51
Koryo Korean BBQ,Toronto,ON,43.654064,-79.3807,Hazel,4.0,2018-01-07 18:58:39
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Hareluya,2.0,2018-08-20 19:02:42
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Yang,5.0,2018-08-24 02:44:46
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Dora,3.0,2018-08-23 20:20:53
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Song,4.0,2018-11-06 04:04:00
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,David,4.0,2018-09-01 02:10:02
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Jessie,1.0,2018-08-21 01:58:36
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,David,4.0,2018-10-31 13:08:33
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Camilla,5.0,2018-08-19 21:40:41
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Cara,4.0,2018-08-21 14:50:37
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Myrel,3.0,2018-09-24 23:01:13
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Tim,2.0,2018-08-29 23:04:31
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Lilian,1.0,2018-08-24 16:19:01
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Tansy,2.0,2018-08-17 22:31:59
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Matthew,2.0,2018-09-27 02:54:42
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Eileen,2.0,2018-08-19 02:58:41
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Khai,3.0,2018-10-01 03:08:54
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Dennis,3.0,2018-09-09 23:58:56
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Cherry,5.0,2018-09-22 03:53:56
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,John,1.0,2018-08-28 03:09:33
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Diana,3.0,2018-08-22 17:29:37
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Linda,3.0,2018-08-19 22:46:40
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Ruohan,3.0,2018-09-07 04:01:33
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Nini,1.0,2018-08-18 02:22:06
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Winnie,1.0,2018-08-21 00:29:10
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Ian,4.0,2018-08-31 18:03:23
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Maberry,4.0,2018-09-14 22:59:47
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Marco,3.0,2018-08-27 19:57:32
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Julie,5.0,2018-11-11 18:24:47
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Raya,3.0,2018-10-14 04:27:53
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Utura,5.0,2018-09-02 15:43:15
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Elisa,4.0,2018-10-08 22:26:01
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Christina,3.0,2018-08-17 22:52:45
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Elisa,4.0,2018-10-11 13:59:59
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Cameron,4.0,2018-11-11 03:37:13
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Ashley,4.0,2018-08-21 23:53:24
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Winnie,1.0,2018-08-18 00:45:16
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Kin,2.0,2018-08-23 00:50:18
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Robert,3.0,2018-09-03 16:51:02
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Eric,2.0,2018-10-04 15:12:03
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Alan,3.0,2018-09-13 01:41:16
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,J,4.0,2018-10-24 20:56:47
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Michael,1.0,2018-10-06 18:46:10
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Michael,2.0,2018-08-22 05:45:35
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Una,3.0,2018-10-09 06:01:10
Four Four South VIllage,Toronto,ON,43.662357,-79.38374,Ivan,3.0,2018-09-18 17:39:18
Element Lounge and Restaurant,Toronto,ON,43.757248,-79.52799,Frances,4.0,2014-01-13 02:19:36
Element Lounge and Restaurant,Toronto,ON,43.757248,-79.52799,Pat,2.0,2016-02-01 02:13:50
Element Lounge and Restaurant,Toronto,ON,43.757248,-79.52799,Mike,1.0,2018-09-25 22:21:57
IPho Vietnamese Cuisine,Toronto,ON,43.679806,-79.34135,Chris,3.0,2012-08-18 05:34:53
IPho Vietnamese Cuisine,Toronto,ON,43.679806,-79.34135,Annie,3.0,2012-02-20 18:16:32
IPho Vietnamese Cuisine,Toronto,ON,43.679806,-79.34135,Chris,4.0,2013-03-29 18:25:38
Popeyes Chicken,Toronto,ON,43.762493,-79.41028,D,3.0,2018-09-07 23:50:32
Popeyes Chicken,Toronto,ON,43.762493,-79.41028,Ron,1.0,2018-08-02 16:54:28
Popeyes Chicken,Toronto,ON,43.762493,-79.41028,Kobe,1.0,2018-10-31 21:09:52
Ginger,Toronto,ON,43.669994,-79.30017,Jennifer,2.0,2011-06-07 15:41:06
Ginger,Toronto,ON,43.669994,-79.30017,Tong,3.0,2010-08-17 23:57:39
Ginger,Toronto,ON,43.669994,-79.30017,Howie,1.0,2011-01-15 05:51:27
Helena's Chinese Restaurant & Tavern,Toronto,ON,43.805958,-79.38397,Ariel,3.0,2011-12-19 21:54:18
Helena's Chinese Restaurant & Tavern,Toronto,ON,43.805958,-79.38397,Ariel,4.0,2009-06-16 17:46:48
Helena's Chinese Restaurant & Tavern,Toronto,ON,43.805958,-79.38397,Melissa,5.0,2009-03-19 20:24:21
Helena's Chinese Restaurant & Tavern,Toronto,ON,43.805958,-79.38397,Jill,3.0,2011-12-11 14:39:39
Orchid Cafe,Toronto,ON,43.690662,-79.576065,Jill,1.0,2012-02-26 14:42:08
Orchid Cafe,Toronto,ON,43.690662,-79.576065,Phillip,3.0,2017-04-30 02:01:26
Orchid Cafe,Toronto,ON,43.690662,-79.576065,Joley,3.0,2017-02-13 11:12:45
Fresh Wood Grill,Toronto,ON,43.59241,-79.541855,Tina,3.0,2010-07-02 20:06:12
Fresh Wood Grill,Toronto,ON,43.59241,-79.541855,Joy,1.0,2010-07-20 19:23:52
Fresh Wood Grill,Toronto,ON,43.59241,-79.541855,Brenda,3.0,2009-04-21 16:19:53
Gyoko Sushi & Bar,Toronto,ON,43.685863,-79.311195,Yulia,5.0,2018-08-24 18:34:56
Gyoko Sushi & Bar,Toronto,ON,43.685863,-79.311195,Amie,4.0,2018-10-03 20:58:34
Gyoko Sushi & Bar,Toronto,ON,43.685863,-79.311195,louie,5.0,2018-11-11 20:33:03
Gyoko Sushi & Bar,Toronto,ON,43.685863,-79.311195,Mark,5.0,2018-10-20 17:35:15
Gyoko Sushi & Bar,Toronto,ON,43.685863,-79.311195,Mallory,5.0,2018-10-12 22:07:18
Frank's on Kipling,Toronto,ON,43.63295,-79.531624,Samantha,5.0,2014-07-16 14:57:46
Frank's on Kipling,Toronto,ON,43.63295,-79.531624,Darija,1.0,2014-07-15 22:24:10
Frank's on Kipling,Toronto,ON,43.63295,-79.531624,Caitlin,5.0,2013-08-18 06:06:39
Wing Machine,Toronto,ON,43.681423,-79.33328,Greet,1.0,2014-03-08 23:06:50
Wing Machine,Toronto,ON,43.681423,-79.33328,Samantha,1.0,2017-11-27 03:48:08
Wing Machine,Toronto,ON,43.681423,-79.33328,Kyra,1.0,2017-03-21 20:23:00
Wing Machine,Toronto,ON,43.681423,-79.33328,Shawn,5.0,2012-02-12 00:03:33
Wing Machine,Toronto,ON,43.681423,-79.33328,Joe,1.0,2016-12-23 23:38:32
Wing Machine,Toronto,ON,43.681423,-79.33328,Koz,4.0,2010-12-29 04:20:00
Wing Machine,Toronto,ON,43.681423,-79.33328,Brad,1.0,2017-03-07 02:53:42
Wing Machine,Toronto,ON,43.681423,-79.33328,Brad,1.0,2017-03-09 18:19:04
Wing Machine,Toronto,ON,43.681423,-79.33328,Laura,1.0,2014-09-30 20:48:35
Asian Kitchen,Toronto,ON,43.82206,-79.29859,Phillip,2.0,2013-05-27 12:55:45
Asian Kitchen,Toronto,ON,43.82206,-79.29859,Jennifer,3.0,2012-07-06 00:25:18
Asian Kitchen,Toronto,ON,43.82206,-79.29859,Joanne,3.0,2015-07-30 02:50:15
Market@416,Toronto,ON,43.631813,-79.39785,Wendy,1.0,2018-10-25 19:11:42
Market@416,Toronto,ON,43.631813,-79.39785,Jason,1.0,2018-11-11 21:10:12
Market@416,Toronto,ON,43.631813,-79.39785,Dan,1.0,2018-10-26 18:37:07
Churrasqueira Praia Da Vagueira,Toronto,ON,43.678944,-79.474014,Vanessa,2.0,2018-02-23 22:15:50
Churrasqueira Praia Da Vagueira,Toronto,ON,43.678944,-79.474014,Joe,2.0,2016-03-21 00:02:26
Churrasqueira Praia Da Vagueira,Toronto,ON,43.678944,-79.474014,Amanda,3.0,2018-04-17 13:21:43
MAIZ,Toronto,ON,43.665344,-79.466156,James,5.0,2018-11-02 23:00:31
MAIZ,Toronto,ON,43.665344,-79.466156,John,3.0,2018-10-07 17:02:32
MAIZ,Toronto,ON,43.665344,-79.466156,Katie,4.0,2018-10-25 01:09:24
MAIZ,Toronto,ON,43.665344,-79.466156,Amanda,4.0,2018-09-24 13:59:54
Sticky Rice Kitchen & Bar,Toronto,ON,43.672497,-79.31996,Kathy,5.0,2018-08-17 19:04:48
Sticky Rice Kitchen & Bar,Toronto,ON,43.672497,-79.31996,Megan Darcy,4.0,2018-08-02 18:54:28
Sticky Rice Kitchen & Bar,Toronto,ON,43.672497,-79.31996,Krystal,4.0,2018-10-01 23:15:01
DaiLo,Toronto,ON,43.650352,-79.3838,Marvin,4.0,2018-10-21 06:35:27
DaiLo,Toronto,ON,43.650352,-79.3838,Nimixh,4.0,2018-03-08 17:46:55
DaiLo,Toronto,ON,43.650352,-79.3838,Mabel,3.0,2018-07-13 23:13:49
DaiLo,Toronto,ON,43.650352,-79.3838,Larie,3.0,2018-04-14 02:57:07
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Lorraine,5.0,2018-11-05 06:21:56
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Joanne,5.0,2018-10-12 02:36:35
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Lierh,5.0,2018-10-12 19:21:07
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Mandeep,5.0,2018-10-11 15:14:41
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Mike,2.0,2018-11-10 18:18:30
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Ayad,5.0,2018-09-17 21:51:21
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Chris,5.0,2018-09-28 23:31:23
Copenhagen Vegan Cafe & Bakery,Toronto,ON,43.64191,-79.43106,Alexandra,5.0,2018-10-17 16:12:28
Paul's Tomato Pie,Toronto,ON,43.706173,-79.44241,Jonathan,4.0,2013-12-30 16:38:04
Paul's Tomato Pie,Toronto,ON,43.706173,-79.44241,Lucus,4.0,2013-11-02 18:24:41
Paul's Tomato Pie,Toronto,ON,43.706173,-79.44241,Josefa,4.0,2011-06-15 16:52:10
Paul's Tomato Pie,Toronto,ON,43.706173,-79.44241,Raf,4.0,2012-01-16 12:37:23
Indilicious,Toronto,ON,43.66572,-79.48201,Paul,1.0,2018-08-19 19:06:25
Indilicious,Toronto,ON,43.66572,-79.48201,Ad,4.0,2018-07-26 02:21:15
Indilicious,Toronto,ON,43.66572,-79.48201,Elle,5.0,2018-09-07 14:14:13
Indilicious,Toronto,ON,43.66572,-79.48201,Geoff,5.0,2018-08-12 01:19:02
Starving Artist,Toronto,ON,43.677742,-79.35001,Mere,2.0,2018-09-29 16:42:45
Starving Artist,Toronto,ON,43.677742,-79.35001,Abigale,3.0,2018-10-14 19:06:51
Starving Artist,Toronto,ON,43.677742,-79.35001,Jon,1.0,2018-10-10 17:33:00
Liuyishou Hotpot Scarborough,Toronto,ON,43.80414,-79.28717,April,5.0,2017-04-12 17:07:10
Liuyishou Hotpot Scarborough,Toronto,ON,43.80414,-79.28717,Fantine,5.0,2017-04-19 19:32:22
Liuyishou Hotpot Scarborough,Toronto,ON,43.80414,-79.28717,Michelle,1.0,2017-05-05 00:02:33
Liuyishou Hotpot Scarborough,Toronto,ON,43.80414,-79.28717,Jianjiang,5.0,2017-08-07 14:45:11
Liuyishou Hotpot Scarborough,Toronto,ON,43.80414,-79.28717,Iris Eunice,4.0,2018-07-23 02:52:54
